,Name,File Name,Generated Smiles,Correct Smiles
0,dy-350,dy-350.PNG,O=Sc1c(C)ccc2c1oc(=O)c1c2C(CC1)C(S(=O)(=O)[O-])CC(=O)NCCCC([OH2+])O CCN(C(C)C)C(C)C,Nc3ccc2c1c(CCC1C(CC(=O)NCCCC(=O)O)S(=O)(=O)[O-])c(=O)oc2c3S(=O)(=O)[O-].CC[NH+](C(C)C)C(C)C.CC[NH+](C(C)C)C(C)C
1,dy-350XL,dy-350XL.PNG,OC(=O)CCCCCNC(=O)N(c1ccc2c(c1)oc(n2)c1cc[n+](cc1)CCCS(=O)(=O)[O-])CCCS(=O)(=O)[O-],OC(=O)CCCCCNC(=O)N(c1ccc2c(c1)oc(n2)c1cc[n+](cc1)CCCS(=O)(=O)[O-])CCCS(=O)(=O)[O-].[Na+]
2,dy-360XL,dy-360XL.PNG,COS(=O)(c1ccccc1C1CC(=NN1c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)OCCCCCC(=O)O)[O-],O=C(O)CCCCCOc4ccc(C3=NN(c1ccc(S(=O)(=O)[O-])cc1)C(c2ccccc2S(=O)(=O)[O-])C3)cc4.[Na+].[Na+]
3,dy-370XL,dy-370XL.PNG,OC(=O)CCCCC[n+]1ccccc1c1oc2c(n1)c1ccc(cc1cc2S(=O)(C)[O-])S(=O)(=O)[O-],OC(=O)CCCCC[n+]1ccccc1c1oc2c(n1)c1ccc(cc1cc2S(=O)(C)[O-])S(=O)(=O)[O-].[Na+]
4,dy-375XL,dy-375XL.PNG,OC(=O)CCCC(=O)Nc1ccc2c(c1)oc(n2)c1cc[n+](cc1)CCCS(=O)(=O)[O-],OC(=O)CCCC(=O)Nc1ccc2c(c1)oc(n2)c1cc[n+](cc1)CCCS(=O)(=O)[O-]
5,dy-376XL,dy-376XL.PNG,OC(=O)CCCCCOc1cc2oc(nc2cc1S(=O)(=O)[O-])/C=C/c1cc[n+](cc1)CCCS(=O)(=O)[O-],OC(=O)CCCCCOc1cc2oc(nc2cc1S(=O)(=O)[O-])/C=C/c1cc[n+](cc1)CCCS(=O)(=O)[O-].[Na+]
6,dy-380XL,dy-380XL.PNG,OC(=O)CCCCC[n+]1ccc(cc1)c1oc2c(n1)ccc(c2)OCCCS(=O)(=O)[O-],
7,dy-395XL,dy-395XL.PNG,OC(=O)CCCCCNC(=O)Nc1ccc2c(c1)oc(*2)c1cc[n+](cc1)CCCS(=O)(=O)[O-],OC(=O)CCCCCNC(=O)Nc1ccc2c(c1)oc(n2)c1cc[n+](cc1)CCCS(=O)(=O)[O-]
8,dy-396XL,dy-396XL.PNG,OC(=O)CCCCCOc1ccc2c(c1)oc(n2)/C=C/c1cc[n+](cc1)CCCS(=O)(=O)[O-],OC(=O)CCCCCOc1ccc2c(c1)oc(n2)/C=C/c1cc[n+](cc1)CCCS(=O)(=O)[O-]
9,dy-405,dy-405.PNG,O=C(COc1cc(c2c3c1ccc1c3c(cc2)c(cc1S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])NCCCCCC(=O)*,O=C(O)CCCCCNC(=O)COc1cc(S(=O)(=O)[O-])c2ccc4c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c3ccc1c2c34.[Na+].[Na+].[Na+]
10,dy-410,dy-410.PNG,OC(=O)CCCCCNC(=O)c1cc2cc(c(c(c2oc1=O)Cl)O)S(=O)(=O)[O-],OC(=O)CCCCCNC(=O)c1cc2cc(c(c(c2oc1=O)Cl)O)S(=O)(=O)[O-].[Na+]
